retail_type,date_period,turnover_index,average_anual_variation_rate,Year_on_year_rate_of_change,monthly_rate_of_change
,Novembro de 2022,139.14,16.2,4.6,3.4
,Outubro de 2022,134.52,17.8,10,2
,Setembro de 2022,131.87,17.8,11,-4.1
,Agosto de 2022,137.5,17.6,13.8,-1.3
,Julho de 2022,139.28,17.1,12.9,6.5
,Junho de 2022,130.82,16.5,13.7,-2.2
,Maio de 2022,133.78,16.5,13.3,9.1
,Abril de 2022,122.67,18.3,18.8,-5
,Março de 2022,129.14,20.1,32.3,14.8
,Fevereiro de 2022,112.54,18,40.9,0.3
,Janeiro de 2022,112.22,12.8,25.8,-24.2
,Dezembro de 2021,148.06,8.9,13,11.4
,Novembro de 2021,132.96,6.4,20.9,8.8
,Outubro de 2021,122.26,3.5,10,2.9
,Setembro de 2021,118.79,2,7.4,-1.7
,Agosto de 2021,120.87,1.3,8.3,-2
,Julho de 2021,123.32,-0.1,5.8,7.2
,Junho de 2021,115.05,-1.3,13.1,-2.6
,Maio de 2021,118.08,-3.1,38.2,14.3
,Abril de 2021,103.29,-7.9,51.2,5.8
,Março de 2021,97.61,-13.1,5.7,22.2
,Fevereiro de 2021,79.86,-14.6,-24.6,-10.5
,Janeiro de 2021,89.2,-12.4,-20.7,-31.9
,Dezembro de 2020,131.12,-10.4,-9.6,19.2
,Novembro de 2020,109.98,-9.1,-10.5,-1.1
,Outubro de 2020,111.15,-9,-6.8,0.5
,Setembro de 2020,110.64,-8.1,-1,-0.9
,Agosto de 2020,111.62,-7.7,-7.2,-4.2
,Julho de 2020,116.53,-6.3,-7.1,14.5
,Junho de 2020,101.74,-5.4,-9.9,19
,Maio de 2020,85.47,-4.6,-27.5,25.1
,Abril de 2020,68.32,-2,-38.1,-26
,Março de 2020,92.37,1.7,-16.1,-12.8
,Fevereiro de 2020,105.91,3.3,6.3,-5.9
,Janeiro de 2020,112.52,3.2,4.2,-22.4
,Dezembro de 2019,145.03,3.1,3.5,18
,Novembro de 2019,122.87,2.9,2.5,3.1
,Outubro de 2019,119.21,3.2,1.3,6.6
,Setembro de 2019,111.78,3.8,1.5,-7
,Agosto de 2019,120.24,3.8,2.1,-4.2
,Julho de 2019,125.45,4,3.4,11
,Junho de 2019,112.97,4.2,0,-4.2
,Maio de 2019,117.92,4.7,3.7,6.8
,Abril de 2019,110.46,5,8.1,0.4
,Março de 2019,110.06,4.6,3.9,10.4
,Fevereiro de 2019,99.65,4.6,4.7,-7.7
,Janeiro de 2019,107.94,4.6,3.3,-23
CR4: Comércio a retalho de produtos não alimentares excepto combustível,Outubro de 2023,134.02,4.7,1.6,1.4
,Setembro de 2023,132.15,5.5,1,-0.3
,Agosto de 2023,132.6,6.4,-0.1,-6.7
,Julho de 2023,,,,
,Junho de 2023,132.63,8.3,5.4,-1.8
,Maio de 2023,135.04,8.8,4.5,8.2
,Abril de 2023,124.76,9.3,3.8,-4.4
,Março de 2023,130.44,10.5,5.9,13.8
,Fevereiro de 2023,114.66,12.2,4.2,-7.7
,Janeiro de 2023,124.16,14.4,11.7,-26.6
,Dezembro de 2022,169.15,15.3,8.4,19.2
,Novembro de 2022,141.91,15.7,5.4,7.6
,Outubro de 2022,131.94,16.9,11.6,0.9
,Setembro de 2022,130.78,16.3,12.8,-1.5
,Agosto de 2022,132.76,15.5,14.4,-2.5
,Julho de 2022,136.11,14.8,12.4,8.1
,Junho de 2022,125.87,13.9,11.5,-2.6
,Maio de 2022,129.25,13.8,10.9,7.5
,Abril de 2022,120.24,15.6,19.3,-2.3
